GameID,TournamentName,StartDate,EndDate,City,Country,TeamPlay,TotalUSDPrize
37942,Fortnite Champion Series - Season X - NAE - Finals,09/20/19,09/22/19,N/A,Online,1,756000
23495,ESL Pro League S5 Finals,05/30/17,06-04-2017,Dallas,United States,1,750000
46189,ESL Pro League Season 13,03-08-2021,04-11-2021,N/A,Online,1,750000
26072,ESL Pro League Season 6 Finals,12-05-2017,12-10-2017,Odense,Denmark,1,750000
27867,ESL Pro League Season 7 - Finals,05/15/18,05/20/18,Dallas,United States,1,750000
30868,ESL Pro League Season 8 - Finals,12-04-2018,12-09-2018,Odense,Denmark,1,750000
44638,F1 Esports Pro Series 2020,10/14/20,12/17/20,N/A,Online,1,750000
35466,Mythic Championship III 2019,06/21/19,06/23/19,Las Vegas,United States,0,750000
40611,Mythic Championship VII 2019,12-06-2019,12-08-2019,Long Beach,United States,0,750000
44383,Clash of Clans World Championship 2020,11/27/20,11/29/20,N/A,Online,1,730000
30358,Fortnite Fall Skirmish Series - Week 6 - Stream-Vitbational,10/28/18,10/28/18,San José,United States,0,730000
38867,Clash of Clans World Championship 2019,10/25/19,10/27/19,Hamburg,Germany,1,700000
23387,CWL Global Pro League 2017 - Stage 1,04/21/17,05/28/17,Columbus,United States,1,700000
24043,CWL Global Pro League 2017 - Stage 2,06/30/17,07/30/17,Columbus,United States,1,700000
27380,CWL Pro League 2018 - Stage 1,01/23/18,04-09-2018,Columbus,United States,1,700000
28807,CWL Pro League 2018 - Stage 2,05/15/18,07/29/18,Columbus,United States,1,700000
21485,Dota2 Professional League Season 2 - Top,09-02-2016,12/31/16,N/A,Online,1,700000
25380,WCS 2017 Global Finals,10/27/17,11-04-2017,Anaheim,United States,0,700000
30417,WCS 2018 Global Finals,10/26/18,11-03-2018,Anaheim,United States,0,700000
38849,WCS 2019 Global Finals,10/24/19,11-01-2019,Anaheim,United States,0,700000
45965,FNCS Chapter 2 Season 5 NA East Grand Finals,03/13/21,03/14/21,N/A,Online,0,691800
15987,World Cyber Arena 2015 (Dota 2),12/17/15,12/20/15,Yinchuan,China,1,677284.4
20896,Esports Championship Series Season 2 - Finals,12-09-2016,12-11-2016,Anaheim,United States,1,660000
23741,Esports Championship Series Season 3 - Finals,06/23/17,06/25/17,London,United Kingdom,1,660000
26155,Esports Championship Series Season 4 - Finals,12/14/17,12/17/17,Cancun,Mexico,1,660000
28153,Esports Championship Series Season 5 - Finals,06-08-2018,06-10-2018,London,United Kingdom,1,660000
30727,Esports Championship Series Season 6 - Finals,11/22/18,11/25/18,N/A,Online,1,660000
24392,Quake World Championship 2017: Sacrifice Tournament,08/24/17,08/26/17,Dallas,United States,1,660000
43695,Overwatch League 2020 - Playoffs - North America,09-03-2020,09/13/20,N/A,Online,1,625000
44179,FNCS : C2S4 Grand Finals EU,10/31/20,11-01-2020,N/A,Europe,1,622000
27207,V4 Future Sports Festival 2018 (CS:GO),03/23/18,03/25/18,Budapest,Hungary,1,617870
22716,DAC 2017,03/27/17,04-04-2017,Shanghai,China,1,611987
43123,LPL Summer 2020,06-05-2020,08/27/20,N/A,China,1,609364.9
39551,ESL Pro League Season 10: Finals,12-03-2019,12-08-2019,Odense ,Denmark,1,600000
35465,ESL Pro League Season 9: Finals,06/18/19,06/23/19,Montpellier,France,1,600000
41936,FNCS Invitational - Grand Finals: Europe,05-02-2020,05/24/20,N/A,Online,0,600000
35445,Fortnite World Cup 2019 - Week 10 - NA East,06/20/19,06/21/19,N/A,Online,1,600000
35227,Fortnite World Cup 2019 - Week 9 - NA East,06-08-2019,06-09-2019,N/A,Online,0,600000
41874,Mid-Season Cup 2020,05/28/20,05/31/20,N/A,Online,1,600000
33218,NBA 2K League 2018 Playoffs,08/17/18,08/25/18,New York City,United States,1,600000
45307,Smite World Championship 2021,01-08-2021,01-01-2021,N/A,Online,1,600000
20993,World Cyber Arena 2016 (Dota 2),12/14/16,12/16/16,Yinchuan,China,1,596226.1
32951,AoV International Championship 2018,11/23/18,12/16/18,Bangkok/Ho Chi Minh City,Thailand/Vietnam,1,590000
20372,ESL Pro League Season 4: Finals,10/26/16,10/30/16,São Paulo,Brazil,1,580000
41966,Fortnite Champion Series - Chapter 2 - Season 1 - Gbrand Finals: NA East,12-08-2019,12-08-2019,N/A,Online,1,574500
27579,LPL Spring 2018,01/15/18,04/28/18,N/A,China,1,552695.5
18248,LPL Spring 2016,01/14/16,04/23/16,N/A,China,1,540291.5
28720,Fortnite Summer Skirmish Series - Week 2 EU,07/21/18,07/21/18,N/A,Online,0,540000
29618,LPL Summer 2018,06-11-2018,09/14/18,N/A,China,1,539595
41052,ESL Pro League Season 11: Europe,03/16/20,04-12-2020,N/A,Online,1,531000
45541,Honor of Kings Champion Cup Winter 2020,01-07-2021,01/23/21,Zhengzhou / Shenzhen,China,1,530400
28717,Fortnite Summer Skirmish Series - Week 2 NA,07/20/18,07/20/18,N/A,Online,0,530000
35480,RLCS Season 7 - Finals,06/21/19,06/23/19,Newark,United States,1,529500
39685,RLCS Season 8 - Finals,12/13/19,12/15/19,Madrid,Spain,1,529500
19389,LPL Summer 2016,05/26/16,08/26/16,N/A,China,1,526799
24433,LPL Summer 2017,06-08-2017,09-01-2017,N/A,China,1,525353.5
42095,Fortnite Champion Series - Chapter 2 - Season 2 - Gbrand Finals: Europe,04/19/20,04/19/20,N/A,Online,1,524000
27039,IEM XII - World Championship (CS:GO),02/27/18,03-04-2018,Katowice ,Poland,1,524000
33931,LPL Spring 2019,01/14/19,04/21/19,N/A,China,1,520100
40668,Honor of Kings Champion Cup Winter 2019,12/21/19,01-04-2020,Macau/Guangzhou,China,1,518760
18500,ESL Pro League S3 Finals,05-11-2016,05/15/16,Leicester,United Kingdom,1,513130
1999,CPL World Tour Finals 2005,11/20/05,11/22/05,New York City,United States,0,510000
